Air_Quality_Index,Water_Quality_Index,CO2_Growth_Rate,Green_Areas,Renewable_Energy_Usage,Temperature,waste_water_treatment,solid_waste_treatment,Environmental_Health_Score
276,4,7,41,60,6,25,74,0
103,51,1,39,38,13,50,47,42
137,49,4,39,22,12,61,54,43
194,26,5,14,13,7,16,21,24
209,4,17,8,6,37,10,13,16
78,85,9,13,26,25,44,62,27
48,82,-7,63,66,33,97,80,96
163,12,1,36,73,-7,56,75,1
43,91,-9,65,76,32,91,85,98
179,41,-5,14,53,27,64,12,52
52,61,-3,47,42,21,78,75,60
169,35,8,17,12,34,21,33,21
196,22,8,19,18,32,30,29,36
118,41,4,34,39,27,57,54,58
239,15,10,8,6,37,6,11,14
152,34,8,11,18,31,38,23,24
177,28,8,17,16,34,39,21,22
193,30,6,12,13,31,20,36,24
75,70,4,20,18,13,93,37,48
47,96,-8,69,64,31,94,92,85
149,40,1,34,24,11,45,44,58
46,97,-9,76,77,32,93,80,87
34,84,-10,62,74,32,97,83,81
179,33,7,17,14,31,37,39,23
184,28,7,11,19,7,39,35,36
129,50,0,23,31,11,45,40,46
43,88,-6,74,74,33,94,98,99
263,7,19,6,5,3,14,14,15
38,99,-6,74,70,34,94,86,98
172,31,5,19,17,32,28,36,37
79,60,-2,46,43,24,75,60,64
93,71,-4,59,54,23,73,77,65
24,80,-7,65,68,32,95,98,88
20,38,-5,45,65,11,40,79,81
102,50,3,37,32,29,61,51,41
225,16,13,6,7,38,9,5,7
101,54,3,37,34,10,68,53,53
14,84,-7,69,66,30,90,86,91
251,96,-7,3,39,1,56,97,51
56,78,-1,53,43,18,76,67,72
187,32,8,16,10,34,16,24,25
143,42,0,33,25,29,66,47,41
180,24,8,13,17,6,31,38,28
75,76,-2,53,55,20,73,70,65
148,58,1,28,35,14,49,59,53
23,92,-9,61,75,30,90,90,98
112,11,19,52,74,-11,31,16,16
114,52,3,28,20,27,50,58,57
15,8,-2,37,74,38,60,90,96
224,4,13,6,7,35,13,16,5
106,48,3,20,34,29,65,45,58
1,82,-8,68,66,34,91,87,86
113,46,3,34,38,27,54,51,42
62,71,-5,58,59,19,75,67,78
174,75,-6,29,22,0,18,78,70
20,82,-7,78,78,34,96,94,86
63,74,-1,51,47,21,74,77,78
19,98,-10,69,61,30,91,96,85
190,22,5,15,16,8,34,31,32
221,0,10,9,8,39,7,8,2
54,60,-1,59,46,17,75,79,77
295,18,16,6,6,0,14,7,1
90,97,13,45,37,-2,76,66,34
89,62,-2,45,41,24,75,62,75
96,0,13,3,3,2,31,47,58
73,62,-1,43,49,24,74,69,71
162,86,18,74,17,31,80,13,73
6,10,17,53,86,29,27,32,56
134,57,1,36,32,26,61,52,56
10,83,-9,65,73,33,95,98,85
94,67,-4,42,51,24,79,62,65
25,87,-8,75,65,34,95,82,89
36,88,-10,72,61,34,95,98,82
161,96,12,54,91,16,54,11,92
89,74,-5,50,56,24,76,78,74
184,29,6,15,13,33,25,32,24
77,65,-1,49,46,24,70,72,77
161,90,12,0,71,7,42,10,85
74,64,-4,45,41,24,72,74,75
247,53,-10,49,37,11,19,65,20
147,42,3,33,35,14,68,56,59
147,52,2,21,25,11,65,45,53
84,62,-5,51,57,23,77,73,76
9,88,-8,75,73,30,94,90,82
1,83,-8,61,71,34,95,92,83
35,94,-7,78,72,31,94,84,99
53,62,-2,51,44,18,76,66,72
277,67,9,67,90,1,16,26,16
20,89,-6,63,65,31,93,86,86
178,33,9,15,12,33,23,24,36
297,6,10,9,6,2,8,9,3
258,2,12,9,9,39,14,7,3
251,81,-3,23,18,21,89,12,27
27,93,-9,75,75,31,98,92,85
257,13,14,7,5,-4,13,7,4
66,74,-5,41,50,20,79,78,63
86,74,-2,58,52,16,74,64,79
68,61,-1,54,59,22,71,74,78
80,70,-1,56,43,20,77,76,62
235,17,13,6,6,3,6,13,0
11,93,-9,77,61,32,98,91,96
0,84,-8,70,72,33,94,83,83
283,1,14,8,9,1,9,12,3
131,0,-3,28,54,23,7,36,9
284,14,1,27,83,23,28,25,9
234,1,19,48,8,12,35,65,78
164,32,9,11,12,32,20,35,21
122,45,0,25,33,12,49,42,51
189,46,6,16,89,-3,21,42,80
152,23,6,16,18,33,36,20,30
276,63,15,35,85,26,80,46,60
199,25,6,13,15,6,25,27,31
183,32,6,19,14,8,30,23,27
189,31,8,19,12,32,31,26,39
65,69,-4,53,56,17,70,64,72
20,94,-7,68,78,33,90,90,88
82,63,-4,57,44,18,76,70,64
277,17,13,5,9,0,13,14,17
109,51,4,20,30,14,54,41,59
139,58,0,28,32,14,62,44,49
36,95,-9,66,72,33,94,82,94
139,53,3,30,26,25,60,49,50
85,69,-4,52,52,21,72,66,73
187,37,5,17,12,30,31,30,21
219,1,15,9,8,0,8,8,14
0,99,-9,67,66,30,94,95,91
197,21,8,14,10,8,35,27,38
280,15,19,9,8,38,11,13,13
271,5,11,5,5,39,5,14,10
38,88,-6,70,73,32,90,87,91
279,59,3,18,67,10,46,36,38
205,19,7,9,24,-14,29,58,32
14,92,-7,69,65,30,91,97,86
102,49,1,35,35,27,68,46,51
240,8,15,7,5,-1,9,14,13
213,22,13,18,81,-4,59,96,91
185,27,8,16,15,5,34,20,27
118,58,0,25,21,28,60,47,42
12,95,-6,63,67,34,99,91,91
271,3,11,8,7,35,13,18,7
111,49,3,20,26,25,47,44,58
171,23,6,11,10,30,25,20,34
114,57,1,21,20,13,53,40,53
83,76,-1,48,45,17,72,66,68
92,72,-3,55,47,17,78,67,72
36,99,-10,71,70,30,91,82,99
168,31,8,10,12,8,34,36,24
119,58,3,24,29,25,44,55,46
57,61,-2,46,47,24,76,73,78
39,95,15,26,61,3,54,46,28
125,50,0,26,25,29,47,58,59
280,76,16,62,37,12,57,98,66
194,35,8,16,10,5,37,29,29
18,99,-10,79,76,33,90,93,85
211,16,13,5,5,39,8,7,18
40,88,-6,65,65,33,93,82,96
59,60,-4,58,40,16,77,77,61
195,25,8,11,18,6,39,25,28
140,40,2,31,21,26,46,56,53
197,24,7,18,11,9,25,33,37
74,73,-4,45,55,15,72,73,78
159,34,5,14,11,8,29,25,27
209,8,10,6,8,-5,14,6,7
214,7,15,6,5,39,13,12,19
218,28,4,19,90,25,58,24,18
34,98,-8,79,60,33,90,87,83
238,11,18,8,9,35,6,7,9
271,12,13,8,8,-3,10,11,9
32,98,-6,78,60,31,97,84,89
80,75,-2,56,55,18,77,79,62
212,10,14,7,8,35,10,5,4
173,20,8,18,17,6,29,30,32
127,55,3,39,25,25,67,44,57
182,38,6,17,16,6,20,38,27
172,70,3,62,72,39,23,51,13
148,49,19,38,19,8,91,11,8
2,91,-6,75,76,34,97,81,83
166,27,9,16,15,33,30,26,28
295,6,12,6,7,36,11,5,13
37,34,19,48,68,28,54,82,74
204,17,19,8,6,36,8,18,15
72,64,-5,42,49,22,72,74,60
144,55,3,27,21,11,48,54,52
173,31,9,15,14,34,15,22,38
25,87,-10,64,79,31,95,88,96
258,13,13,7,8,-3,11,7,18
108,47,0,31,38,11,48,44,45
188,20,8,16,19,7,31,24,23
113,15,12,50,81,36,84,76,96
95,72,-5,59,44,24,70,68,61
130,51,1,22,22,13,51,54,48
266,1,15,7,7,4,13,5,15
156,25,8,17,17,32,19,37,24
42,97,-9,75,72,30,99,95,80
265,16,18,9,9,-1,7,9,18
278,0,11,9,8,2,7,10,0
122,64,-8,34,30,12,5,29,42
144,48,4,34,34,13,44,58,59
65,76,-5,56,50,20,79,73,79
291,1,17,8,9,2,7,7,13
175,32,8,19,16,30,18,32,39
184,25,6,11,11,32,33,21,39
10,92,-9,70,71,30,93,82,95
26,88,-9,76,61,30,97,82,87
280,85,6,54,22,16,66,78,9
120,97,-2,77,3,13,45,49,49
97,98,-3,79,37,-3,91,58,21
38,95,-8,73,62,32,91,89,85
1,92,-6,75,61,32,99,94,96
4,83,-6,78,61,34,95,83,99
247,7,12,6,6,-2,10,15,8
241,17,19,9,8,38,12,6,12
114,41,4,23,38,25,40,56,47
55,65,-4,53,49,24,72,65,67
1,99,-7,63,77,32,99,98,90
56,70,-5,47,50,21,77,78,69
179,31,6,10,18,30,22,21,32
247,26,-9,0,31,9,97,75,66
76,73,-4,56,53,16,78,74,74
15,27,5,34,59,29,50,76,54
175,21,5,14,15,7,34,25,26
177,32,7,18,15,8,34,34,32
84,71,-3,42,40,18,77,70,68
77,73,-3,54,58,20,72,75,73
82,66,-2,48,40,21,77,60,70
142,96,14,16,96,31,70,82,52
156,24,9,15,16,5,23,22,39
160,21,6,17,10,9,25,20,30
289,6,10,8,8,-5,10,9,8
111,58,3,21,25,11,41,57,54
144,64,12,56,54,26,57,60,97
29,85,-9,60,71,31,95,91,96
187,26,8,13,13,33,20,26,37
178,24,5,13,15,30,23,20,39
153,47,-10,37,1,33,10,50,49
199,26,7,19,10,6,27,39,39
223,61,18,57,66,24,44,95,76
151,36,8,15,17,33,39,34,28
17,84,-10,75,60,34,98,94,96
23,82,-7,73,74,30,96,96,91
292,4,10,8,9,38,14,14,15
52,64,-5,45,41,23,75,70,67
103,52,1,27,34,10,42,47,43
252,11,11,9,7,-1,5,11,8
160,20,6,17,11,6,28,34,31
29,87,-9,76,68,33,92,90,80
4,86,-9,65,64,32,99,94,89
192,37,6,13,19,30,39,25,32
279,25,14,59,40,13,19,49,64
247,12,17,7,9,-4,10,15,5
201,7,16,7,8,36,13,19,5
157,23,5,17,15,31,29,36,33
175,36,8,19,18,33,39,30,25
75,76,-2,49,45,17,74,60,67
89,69,-5,57,58,18,79,60,77
148,98,1,25,18,29,64,75,46
63,76,-5,43,53,22,79,62,73
233,9,14,8,7,1,13,10,11
28,86,-10,66,70,30,92,83,83
92,77,-2,52,47,15,74,74,79
14,96,-7,75,72,32,90,96,81
57,33,16,19,49,22,92,14,31
1,85,-7,71,64,31,94,94,91
258,4,15,10,70,37,60,14,33
27,80,-7,69,66,31,99,83,91
290,18,16,7,9,39,6,16,19
98,69,-3,49,53,20,73,69,69
40,93,-9,68,60,31,99,99,82
96,62,-2,40,59,24,74,60,62
119,50,1,30,30,14,42,51,42
18,80,-6,72,63,31,90,99,91
140,0,-9,47,76,32,53,68,60
90,69,-3,51,52,18,71,78,77
90,78,-1,46,47,23,74,76,64
24,91,-9,70,73,33,95,83,94
262,15,15,8,7,2,10,14,4
161,28,7,18,12,30,16,31,29
65,77,-4,59,48,16,77,79,61
117,51,3,33,25,12,67,48,44
76,67,-5,44,59,16,75,68,76
64,73,-5,41,59,22,72,65,78
261,8,10,6,9,-2,14,13,6
262,14,16,7,8,38,10,14,2
136,45,1,39,30,28,54,45,56
197,31,6,12,17,7,20,39,25
247,14,14,9,6,37,7,11,5
119,41,4,30,23,13,59,54,43
75,69,-4,47,46,18,75,75,79
128,51,3,26,32,12,47,48,46
96,69,-4,56,45,18,70,68,63
188,20,9,19,15,8,18,32,36
120,41,2,28,38,27,44,57,55
170,37,7,16,14,8,35,27,38
55,61,-4,52,46,21,79,73,70
72,61,-1,43,43,23,74,72,64
111,42,3,23,37,12,61,50,54
76,75,-3,44,53,23,74,74,76
126,46,3,24,27,10,66,53,52
163,37,5,19,17,30,37,28,29
41,40,2,68,9,-6,95,64,50
31,86,-6,73,63,34,90,83,82
63,65,-5,43,47,15,72,76,68
31,85,-9,66,61,33,94,96,80
69,89,-7,38,34,-15,28,61,99
169,21,9,15,13,33,34,34,23
51,26,18,27,34,-8,20,40,29
67,65,-2,59,55,17,75,74,73
254,13,-4,26,8,-1,19,94,41
190,26,7,15,13,7,35,30,24
113,56,0,27,39,26,66,57,52
253,84,15,21,3,-3,49,46,48
63,64,-3,49,59,19,78,73,77
260,1,16,9,6,-2,11,10,9
118,54,1,21,29,29,57,54,51
218,11,18,7,8,2,11,11,1
164,23,6,16,10,32,33,36,25
106,44,4,24,20,25,58,53,51
58,70,-1,44,52,24,76,64,72
133,48,4,20,32,28,65,46,41
238,1,10,6,6,2,6,15,8
112,46,3,21,33,29,48,50,44
121,0,4,33,95,38,52,93,0
94,60,-4,50,55,15,78,77,71
1,90,-7,77,72,34,95,91,81
234,16,19,9,7,3,14,13,14
135,41,0,24,37,10,69,59,50
20,99,-7,69,71,34,95,97,91
154,20,9,13,15,32,36,39,37
9,90,-10,74,65,34,92,98,89
292,7,19,9,9,2,8,15,3
48,90,-7,73,78,33,99,85,89
105,50,0,21,20,12,41,59,43
273,11,14,7,7,35,8,9,0
46,67,1,44,1,11,99,40,35
142,15,18,12,34,36,79,63,20
286,17,11,7,5,-4,12,10,1
197,36,8,14,19,31,30,26,23
283,2,15,7,8,39,7,13,9
46,97,-9,70,75,30,94,91,90
137,40,3,30,23,12,57,43,56
94,60,-4,59,42,18,76,77,70
181,34,5,16,12,30,17,28,33
74,62,-2,53,54,20,76,76,71
103,83,19,24,92,2,86,70,53
42,97,-10,62,63,34,95,93,84
125,10,6,37,63,-11,12,38,47
173,21,9,19,12,5,36,38,26
91,69,-4,46,46,22,76,76,60
154,32,8,13,11,34,20,30,21
52,72,-1,54,59,19,79,62,78
177,81,19,16,87,-13,36,17,88
170,25,7,14,11,34,20,22,35
194,85,6,48,75,39,89,60,67
16,86,-7,68,61,30,90,88,99
128,48,3,25,37,27,67,51,50
220,8,15,8,8,37,8,7,14
249,10,11,5,6,39,7,11,18
190,37,7,12,12,31,31,21,36
247,13,17,9,9,38,12,5,8
36,93,-7,62,64,34,92,93,83
268,18,10,8,9,37,6,15,3
82,8,-8,20,72,12,66,11,79
165,87,7,26,40,-8,96,78,16
53,69,-3,48,59,24,76,73,68
26,91,-10,70,67,31,92,90,86
299,4,-5,25,67,3,88,24,11
91,65,-1,51,50,15,70,70,78
244,12,19,7,9,39,10,16,8
162,26,6,12,10,34,31,36,36
1,23,-1,37,21,10,47,59,38
75,68,-5,55,48,17,72,68,66
11,83,-9,75,67,33,98,91,81
76,48,12,19,91,1,32,45,65
174,20,7,11,17,8,39,39,31
71,73,-4,46,49,20,76,78,75
243,84,14,27,14,-12,97,77,26
0,96,-9,79,65,34,92,80,82
93,92,9,60,21,19,20,54,42
133,56,4,32,24,26,45,58,52
157,22,7,11,19,7,33,34,24
218,4,19,5,8,-3,12,8,9
7,63,-1,37,95,32,96,85,94
99,70,-2,47,44,21,76,69,63
153,21,5,10,16,9,38,39,32
30,86,-7,78,69,32,98,98,81
36,92,-7,74,75,34,90,87,81
271,46,6,57,75,11,57,46,58
72,65,-5,45,53,17,79,62,71
256,2,15,7,9,1,13,9,14
78,64,-5,44,54,19,70,70,60
51,76,-4,52,48,19,73,64,70
53,72,-3,56,52,15,72,78,69
137,40,3,30,36,13,54,48,59
110,51,3,37,35,28,64,51,41
178,20,9,18,11,7,35,21,30
264,2,12,8,7,4,13,8,3
216,95,-10,44,35,4,22,42,66
15,96,-7,62,70,31,94,84,95
9,90,-10,61,64,32,92,85,90
187,24,9,18,15,8,29,33,26
191,26,9,12,12,6,23,32,34
17,92,-7,79,77,33,90,97,80
164,25,6,16,19,31,18,36,20
37,81,-8,73,64,31,97,93,82
36,94,-8,66,70,31,98,93,92
83,78,-5,42,46,24,79,60,69
268,16,13,6,9,-2,14,5,8
277,33,12,28,37,30,22,75,64
229,13,18,7,8,36,7,12,18
243,16,19,8,5,-2,6,15,6
243,17,16,8,8,1,8,6,9
24,12,10,7,20,18,72,29,78
40,86,-10,62,72,33,98,96,80
80,67,-3,59,55,17,76,68,72
24,88,-6,79,78,32,94,89,96
34,92,-7,67,68,30,95,98,90
87,71,-1,50,48,21,78,62,79
167,36,9,11,17,6,25,37,29
269,9,11,7,9,37,5,18,12
52,61,-4,55,51,15,74,67,75
21,90,-6,60,62,32,96,86,91
68,72,-2,59,57,18,70,77,60
138,41,2,38,25,13,45,56,49
147,40,0,33,24,27,55,41,47
117,58,3,24,28,28,60,40,40
125,52,3,26,23,14,59,40,47
51,64,-5,56,48,17,77,65,62
164,24,6,17,11,6,26,25,23
220,17,15,7,9,-1,8,9,7
17,89,-9,60,63,30,93,97,90
171,22,9,11,19,5,25,36,35
9,88,-10,67,69,30,91,85,84
119,43,3,27,32,28,48,48,57
38,98,-8,76,72,34,99,81,89
184,68,18,1,54,17,84,91,37
260,13,12,6,8,37,12,12,0
83,78,-3,49,47,16,70,77,61
154,31,8,17,19,30,35,39,32
76,27,-2,19,55,3,43,55,11
83,66,8,1,81,28,68,78,68
64,72,-1,46,54,21,78,76,64
24,92,-9,77,67,32,95,80,94
64,66,-2,55,56,19,76,73,66
247,6,-3,27,31,19,19,89,69
179,43,11,17,2,-9,47,86,37
63,63,-1,50,43,23,70,62,73
95,71,-2,40,56,24,70,69,74
45,90,-7,67,63,32,97,85,94
259,1,19,8,7,35,14,6,17
284,3,6,12,38,-1,33,33,74
227,0,13,6,6,39,14,5,5
184,20,7,11,14,33,37,23,31
2,93,-8,63,79,32,99,90,90
2,97,-6,78,78,31,93,95,90
160,25,6,11,11,31,30,31,20
127,56,3,29,30,12,48,54,41
107,55,2,25,39,12,60,50,44
72,77,-5,57,56,23,76,63,71
127,56,2,31,38,10,46,59,45
87,74,-3,46,50,16,78,73,72
201,5,11,9,7,-5,13,12,11
91,73,-4,48,40,16,79,79,62
95,64,-1,49,49,22,76,74,66
27,96,-7,72,63,34,99,83,97
242,17,17,5,8,2,12,6,3
107,47,3,26,26,13,53,57,45
176,23,5,17,18,33,24,38,37
235,0,10,9,7,37,9,16,2
218,81,17,50,46,31,8,11,34
240,17,19,5,8,-5,12,11,10
115,47,-9,9,98,-5,15,89,20
194,37,5,15,15,32,16,21,32
228,4,18,8,7,35,13,5,19
185,32,1,58,94,-5,72,86,67
123,48,2,28,29,27,40,46,43
156,38,5,10,12,31,35,22,28
130,48,1,24,25,29,64,40,46
183,34,8,17,12,32,15,30,39
212,12,19,5,5,-2,9,9,19
240,87,2,34,61,-15,29,49,48
209,11,19,6,7,4,10,10,17
209,11,2,40,1,21,49,84,47
250,46,0,56,44,17,21,74,3
87,73,-2,42,44,24,72,73,63
97,62,-2,59,44,15,77,77,79
204,18,15,7,7,39,13,10,19
11,82,-10,77,70,33,90,88,85
62,74,-5,49,45,16,72,69,73
4,99,-8,77,77,33,90,93,93
243,12,14,7,9,3,8,15,18
73,78,-3,41,47,19,74,77,77
139,50,0,20,27,11,45,44,52
155,27,6,15,10,30,23,21,34
29,82,-8,70,76,33,96,98,91
58,73,-4,55,48,16,79,75,63
227,8,19,6,8,-3,11,5,19
244,7,15,6,7,38,14,7,5
257,16,16,7,7,-3,6,18,9
209,12,14,7,6,38,14,13,13
87,43,2,21,42,21,65,60,2
290,11,10,5,6,-1,13,8,10
294,8,12,7,8,4,5,12,9
73,65,-1,56,53,17,79,78,61
212,14,10,6,9,37,8,17,10
237,16,19,9,9,35,6,18,14
3,85,-9,64,62,30,93,99,81
159,33,5,13,11,7,34,34,30
187,22,7,10,17,6,17,33,33
107,52,4,36,22,26,56,46,40
56,74,-1,49,44,21,74,69,64
171,32,7,11,13,9,34,33,34
30,93,-9,74,71,34,93,86,89
42,34,-3,77,57,17,18,38,60
26,84,-7,70,69,31,99,92,87
154,20,5,17,11,8,22,26,21
272,79,17,30,72,15,82,53,1
119,53,3,32,27,29,62,58,51
234,5,19,6,8,38,10,9,16
18,66,-1,39,46,26,69,33,49
64,66,-3,54,47,22,78,74,60
146,49,1,36,25,28,56,48,43
252,12,18,9,6,36,12,19,6
70,68,-3,40,57,17,71,74,73
282,9,15,9,5,39,13,16,13
264,4,12,7,8,37,12,13,3
74,63,-1,43,52,15,71,61,75
69,65,-3,44,52,19,76,75,77
115,78,14,19,8,16,8,54,81
4,19,12,74,36,6,62,72,92
160,38,5,14,18,30,33,32,32
294,3,11,6,9,1,5,19,12
15,98,-10,64,67,30,94,89,81
142,52,2,35,27,27,64,47,52
195,21,7,14,17,31,37,31,26
184,22,6,10,13,9,20,24,20
76,67,-1,52,44,15,73,77,74
7,90,-8,76,67,32,92,80,84
63,74,-2,52,59,24,77,64,74
294,4,11,9,5,37,9,8,4
53,77,-1,58,58,21,73,75,70
42,90,-8,78,74,30,96,95,90
123,55,0,38,33,27,42,49,58
248,92,5,8,14,14,30,14,28
119,58,0,23,34,10,51,42,53
86,72,-3,49,45,20,76,73,67
52,69,-4,55,55,17,76,71,74
71,66,-4,45,56,15,74,64,79
113,50,0,38,22,12,69,52,46
133,55,4,22,31,12,42,40,42
251,2,10,9,6,-2,14,11,16
154,33,5,13,14,8,16,31,24
189,38,5,18,19,34,36,24,24
173,26,9,13,16,32,33,21,29
94,68,-1,54,54,18,74,78,79
196,24,8,19,10,6,21,35,20
80,74,-3,58,57,16,70,67,66
183,21,5,12,10,34,30,25,36
239,15,19,5,8,37,6,16,11
190,17,15,43,33,-6,66,18,94
166,32,6,11,15,30,31,30,38
219,12,16,6,9,-1,8,11,9
110,40,1,24,34,10,42,51,41
8,59,3,76,70,-1,75,45,21
83,78,-1,58,40,21,77,64,69
78,62,-3,54,50,15,70,65,64
59,61,-2,54,46,18,77,74,62
134,99,4,50,72,16,79,12,96
76,45,-8,73,64,39,95,12,50
67,66,-4,50,42,23,79,69,73
145,41,2,24,30,11,62,51,46
212,7,18,8,6,35,14,13,1
130,56,0,39,35,25,61,52,58
284,15,16,9,7,37,9,11,8
28,97,-7,67,61,33,91,85,88
35,93,-8,76,62,33,97,98,85
47,83,-7,60,66,31,97,84,86
236,17,14,8,6,-4,10,15,12
273,93,7,37,31,-5,49,93,32
69,64,-3,50,51,21,77,68,63
67,72,-3,54,55,16,70,70,67
210,17,15,7,8,2,7,14,5
183,19,-2,45,11,-10,21,23,25
66,62,-2,43,58,16,72,78,79
17,94,-10,70,76,34,90,81,88
141,42,0,34,22,12,57,47,56
52,71,-4,45,56,17,71,79,67
96,75,-2,58,54,23,71,61,78
290,29,13,29,77,-10,71,84,6
79,66,-3,49,49,17,71,60,77
58,88,-2,53,73,6,87,69,63
112,43,3,32,21,26,54,56,46
287,10,14,8,9,35,13,13,9
212,15,10,9,6,38,14,9,7
112,46,1,22,36,14,56,56,56
106,54,2,29,28,10,55,45,48
197,21,7,13,12,9,31,22,37
4,16,-6,35,18,11,15,58,44
181,33,5,15,13,32,17,28,25
43,88,-6,63,70,33,91,90,83
40,67,16,67,91,-8,6,90,40
168,23,7,16,18,9,20,31,21
87,74,-3,40,44,16,76,73,66
185,34,8,18,19,7,38,36,30
117,14,19,27,23,-8,13,51,32
49,84,-8,62,70,34,93,93,90
161,31,15,65,11,24,77,80,89
49,91,-10,71,64,32,98,96,95
143,57,1,30,23,26,40,46,45
46,80,-10,69,69,34,90,85,82
98,66,-2,44,42,21,74,79,64
43,92,-9,75,65,32,94,92,96
118,45,1,38,24,10,66,42,49
9,16,6,66,61,15,5,16,3
194,95,-8,26,92,16,54,65,50
61,63,-4,45,53,18,75,78,65
88,70,-3,43,57,15,77,60,70
20,81,-9,74,60,34,91,99,82
110,44,2,25,28,29,63,47,53
24,99,-7,70,76,31,95,88,92
101,52,4,39,20,28,42,57,48
119,40,4,35,25,14,55,42,58
66,66,-5,53,50,21,79,73,66
167,33,5,17,11,9,39,26,28
21,81,-6,63,63,33,94,92,84
38,98,-8,70,66,31,92,83,85
166,27,5,19,13,7,24,31,25
32,98,-8,69,67,31,90,97,81
164,23,8,10,16,5,17,32,34
112,55,2,30,29,25,59,43,51
38,83,-9,72,61,31,94,83,97
245,11,14,6,8,-3,8,5,19
245,4,18,5,8,38,11,15,6
252,5,12,9,6,35,7,9,5
260,2,14,7,8,-2,8,13,6
59,68,-3,40,43,24,76,72,72
127,47,2,33,34,12,40,42,56
192,29,9,10,15,32,27,35,27
154,37,8,10,11,34,38,21,31
101,56,0,32,23,13,45,58,51
108,51,3,24,26,28,45,52,59
199,27,7,13,10,31,21,36,29
126,54,9,51,43,29,89,60,54
152,32,9,11,17,5,34,29,31
99,64,-2,48,59,23,79,77,76
38,96,-10,71,72,31,96,93,80
138,53,4,20,28,10,66,52,58
17,86,-7,64,75,32,99,97,93
132,46,2,38,21,11,52,45,51
116,6,-2,47,71,34,63,91,92
105,58,1,31,36,11,41,45,47
40,80,-10,69,63,32,99,94,90
89,47,10,53,55,23,98,63,71
53,74,-1,48,41,19,73,76,72
172,23,9,11,19,5,24,26,23
70,72,-3,46,49,24,75,64,61
82,65,-2,42,42,24,75,61,75
166,21,8,15,13,8,39,29,29
154,36,5,12,14,32,36,20,39
277,0,13,6,6,0,11,14,13
94,73,-1,45,42,18,78,64,76
101,47,3,27,30,25,44,53,42
233,1,11,5,9,36,8,7,18
87,67,-3,57,55,17,72,77,79
87,75,-4,56,50,20,79,61,63
114,52,2,33,33,14,54,52,56
280,2,13,8,7,-2,7,14,2
97,72,-1,48,48,16,77,69,67
116,44,0,38,24,27,61,44,56
111,55,4,22,25,26,56,43,54
97,67,-2,54,59,20,70,72,77
158,34,7,18,11,34,34,36,32
193,34,7,15,14,33,34,31,37
133,47,4,36,27,10,49,41,48
11,87,-7,65,62,33,97,92,92
295,11,19,9,8,38,9,9,14
34,97,-7,77,69,30,91,80,83
88,67,-2,57,50,19,71,61,70
174,24,5,19,13,33,33,22,39
147,57,1,26,34,11,57,59,48
65,65,-4,51,50,23,72,61,65
78,62,-4,43,57,21,70,72,63
174,28,8,12,17,34,32,29,38
76,70,-1,48,59,17,76,78,71
110,57,2,32,34,28,58,42,43
95,60,-1,46,44,19,76,62,71
78,72,-3,49,44,20,71,66,70
92,66,-4,48,46,15,77,71,61
256,0,19,9,7,38,11,15,6
196,72,16,1,64,24,64,55,29
211,12,19,7,5,1,5,6,16
47,60,6,25,35,-15,12,56,78
113,61,-1,63,44,26,86,62,19
41,98,-10,71,60,33,90,82,90
147,52,0,36,22,26,54,43,43
116,48,3,31,25,12,67,46,42
46,93,3,61,68,-4,20,94,89
41,42,5,73,48,16,68,6,23
39,19,15,76,79,-7,67,80,43
93,72,-4,58,49,21,74,66,77
162,29,9,15,17,32,39,27,32
77,62,-1,52,56,22,73,70,78
28,84,-8,67,75,34,90,99,96
178,36,6,57,86,10,33,37,59
136,58,3,34,30,29,44,54,57
3,83,-7,77,77,30,91,81,83
84,68,-4,56,56,22,72,60,71
167,23,7,15,19,8,15,26,37
197,31,7,14,13,33,18,30,32
24,92,-6,65,68,32,96,89,89
129,55,4,35,36,14,68,46,56
180,22,2,68,94,37,66,45,56
63,49,10,20,68,32,24,71,43
41,94,-6,65,64,33,91,94,95
110,50,0,21,24,27,52,42,45
193,25,7,11,18,8,18,27,39
252,6,11,8,9,1,14,7,4
128,40,2,27,27,27,59,54,46
276,15,16,5,5,-3,14,19,3
279,13,17,5,7,36,9,10,19
60,61,-3,50,52,16,71,78,68
41,63,9,14,28,17,98,31,35
295,71,-4,13,31,35,42,27,62
237,0,12,7,9,38,6,17,9
163,35,7,12,19,5,34,23,31
171,22,6,16,16,5,26,28,34
144,6,2,65,3,-6,92,21,51
23,96,-6,77,72,30,94,90,86
3,16,-7,42,89,-12,5,75,93
10,92,-10,67,77,31,95,90,92
103,40,0,38,24,29,58,51,55
250,0,16,6,7,38,12,19,15
46,80,-8,66,76,32,93,97,91
233,4,19,6,5,38,11,13,7
93,64,-3,52,49,17,71,61,66
189,22,6,19,16,5,28,22,31
172,22,8,19,14,33,38,20,22
249,7,12,9,5,39,10,12,12
172,36,7,13,19,9,34,36,28
53,65,-1,44,54,15,78,62,79
281,14,11,7,6,36,14,8,2
17,95,-7,67,72,34,90,96,84
196,35,8,17,17,32,39,38,20
10,92,-7,70,66,33,94,96,99
162,37,5,17,12,5,15,34,28
224,0,14,26,61,36,81,7,69
259,13,12,8,6,-2,7,6,11
100,5,9,25,63,18,63,60,58
84,67,-3,47,56,15,76,72,78
23,99,-10,61,68,33,94,85,82
156,33,7,13,11,6,29,36,26
87,75,-2,48,42,21,72,71,68
31,83,-6,66,72,32,93,92,86
